NEOC,Area,Distance,GFA,Elapsed Period,Std_Net_Area,Lease Ratio,Market_Vacancy,NOC,YN,Period,SD,MR,CAMF,E_Ratio,RF,FO,TI,E_MR,TI,FO+TI
123099,1,171,9342,4,216,0.042,0.167,272623,1,3,1068000,106800,43000,0.549476565,4,2,0,67640,0,0.4
214313,1,226,50835,10,375,0.003,0.097,354111,1,1,1300000,130000,49000,0.505491455,2,0,0,108333.3333,0,0
147865,1,147,16847,10,325,0.073,0.149,288075,0,2,1060000,106000,42000,0.51375524,3,2,0,75966.66667,0,0.4
144427,1,147,16847,10,325,0.073,0.149,288075,0,2,1060000,106000,42000,0.51375524,3,3,0,74200,0,0.6
110556,1,193,12869,9,305,0.17,0.127,246225,1,3,950000,95000,39000,0.544217246,4,2,0,60166.66667,0,0.4
110556,1,193,12869,9,305,0.124,0.127,246225,1,3,950000,95000,39000,0.544217246,4,2,0,60166.66667,0,0.4
104738,1,193,12869,9,305,0.17,0.127,246225,1,3,955000,95000,39000,0.544217246,4,4,0,57000,0,0.8
104738,1,193,12869,9,305,0.124,0.127,246225,1,3,955000,95000,39000,0.544217246,4,4,0,57000,0,0.8
73117,1,193,12869,9,305,0.17,0.168,248246,1,3,955000,95500,39600,0.544217246,6,5,0,39791.66667,0,1
124832,1,147,16847,10,325,0.007,0.168,282236,0,3,1040000,104000,41000,0.51375524,4,3,0,64133.33333,0,0.6
124762,1,0,16732,31,405,0.031,0.167,270181,0,3,1449000,144000,53500,0.730992682,4,2,0,91200,0,0.4
124832,1,147,16847,10,325,0.069,0.167,282236,0,3,1040000,104000,41000,0.51375524,4,3,0,64133.33333,0,0.6
160257,1,0,42795,2,496,0.029,0.097,372176,1,1,1620000,162000,48000,0.564249494,4,4,1000000,90424.93225,2.509284352,1.30185687
160154,1,0,42795,2,496,0.02,0.097,372176,1,1,1620000,162000,48000,0.564249494,4,4,1000000,90366.66667,2.530864198,1.30617284
62435,1,0,23285,33,427,0.029,0.097,214841,1,1,900000,90000,44200,0.624648917,6,4,0,39000,0,0.8
143554,1,0,42795,2,496,0.28,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,5,0,81000,0,1
143554,1,0,42795,2,496,0.081,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,5,0,81000,0,1
153124,1,0,42795,2,496,0.062,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,3,0,86400,0,0.6
143554,1,0,42795,2,496,0.041,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,5,0,81000,0,1
160335,1,0,53100,6,623,0.019,0.132,369855,0,2,1601000,160100,52200,0.574009217,4,3,700000,92034,2.508806996,1.101761399
86449,1,0,23285,33,427,0.032,0.132,214841,1,2,900000,90000,44200,0.624648917,4,4,0,54000,0,0.8
86449,1,0,23285,33,427,0.022,0.132,214841,1,2,900000,90000,44200,0.624648917,4,4,0,54000,0,0.8
131459,1,0,42795,2,496,0.28,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,3,1300000,74175.66667,4.527530864,1.505506173
136244,1,0,42795,2,496,0.081,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,2,1300000,76875.66667,4.527530864,1.305506173
121889,1,0,42795,2,496,0.062,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,5,1300000,68775.66667,4.527530864,1.905506173
136244,1,0,42795,2,496,0.041,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,2,1300000,76875.66667,4.527530864,1.305506173
157909,1,0,42795,2,496,0.04,0.163,372176,1,2,1620000,162000,48000,0.564249494,5,2,0,89100,0,0.4
131459,1,0,42795,2,496,0.04,0.163,372176,1,2,1620000,162000,48000,0.564249494,5,3,1300000,74175.66667,4.527530864,1.505506173
148339,1,0,42795,2,496,0.143,0.164,372176,1,2,1620000,162000,48000,0.564249494,5,4,0,83700,0,0.8
157909,1,0,42795,2,496,0.052,0.164,372176,1,2,1620000,162000,48000,0.564249494,5,2,0,89100,0,0.4
153124,1,0,42795,2,496,0.024,0.164,372176,1,2,1620000,162000,48000,0.564249494,5,3,0,86400,0,0.6
131673,1,0,42795,2,496,0.143,0.164,372176,1,2,1620000,162000,48000,0.564249494,5,4,1000000,74296.66667,3.482716049,1.49654321
131673,1,0,42795,2,496,0.052,0.164,372176,1,2,1620000,162000,48000,0.564249494,5,4,1000000,74296.66667,3.482716049,1.49654321
131673,1,0,42795,2,496,0.024,0.164,372176,1,2,1620000,162000,48000,0.564249494,5,4,1000000,74296.66667,3.482716049,1.49654321
161147,1,0,53100,6,623,0.081,0.127,346684,0,3,1500000,150000,49000,0.574009217,4,3,0,92500,0,0.6
123767,1,0,18347,21,420,0.356,0.127,288011,1,3,1060000,106000,42000,0.513870041,4,4,0,63600,0,0.8
165503,1,0,53100,6,623,0.081,0.127,346684,0,3,1509000,150000,49000,0.574009217,4,2,0,95000,0,0.4
67351,1,0,18347,21,420,0.043,0.127,284969,1,3,2545084.745,102937,43500,0.513870041,4,7,2579970.009,34609.42746,12.82682954,3.965365908
130643,1,0,18347,21,420,0.356,0.127,288011,1,3,1060000,106000,42000,0.513870041,4,2,0,67133.33333,0,0.4
83015,1,195,5458,3,211,0.023,0.168,193993,1,3,750000,75000,36000,0.572185006,4,2,0,47500,0,0.4
83015,1,195,5458,3,211,0.028,0.168,193993,1,3,750000,75000,36000,0.572185006,4,2,0,47500,0,0.4
83015,1,195,5458,3,211,0.093,0.168,193993,1,3,750000,75000,36000,0.572185006,4,2,0,47500,0,0.4
162114,1,0,53100,6,623,0.082,0.168,348601,0,3,1509000,150900,49200,0.574009217,4,3,0,93055,0,0.6
144803,1,0,53100,6,623,0.019,0.169,338322,0,4,146500,146500,47700,0.574009217,4,4,500000,83118.35624,1.958352395,1.191670479
117349,1,167,15670,5,323,0.273,0.173,281682,1,4,1135000,113500,41500,0.550265182,4,4,400000,64573.3154,1.864326659,1.172865332
188304,2,165,20207,9,504,0.355,0.132,333334,0,2,1400000,140000,50000,0.569998802,2,4,0,107333.3333,0,0.8
111904,2,563,11901,10,208,0.012,0.132,275881,0,2,1180000,118000,42000,0.579959909,5,2,0,64900,0,0.4
118085,2,0,21851,1,609,0.05,0.097,261747,1,1,1040000,104000,42000,0.557789641,4,2,0,65866.66667,0,0.4
118085,2,0,21851,1,609,0.05,0.097,261747,1,1,1040000,104000,42000,0.557789641,4,2,0,65866.66667,0,0.4
89753,2,173,22764,42,644,0.039,0.167,208827,1,3,920000,92000,40000,0.632101966,4,3,0,56733.33333,0,0.6
89753,2,173,22764,42,644,0.045,0.167,208827,1,3,920000,92000,40000,0.632101966,4,3,0,56733.33333,0,0.6
84027,2,57,10173,19,322,0.056,0.097,198021,1,1,670000,67000,33000,0.504997774,4,2,0,42433.33333,0,0.4
99505,2,57,10173,19,322,0.023,0.097,198021,1,1,670000,67000,33000,0.504997774,3,0,0,50250,0,0
121756,3,389,8361,26,210,0.02,0.027,209088,1,1,820000,82000,33000,0.550006744,2,1,0,66966.66667,0,0.2
121756,3,389,8361,26,210,0.091,0.027,209088,1,1,820000,82000,33000,0.550006744,2,1,0,66966.66667,0,0.2
121756,3,389,8361,26,210,0.046,0.027,209088,1,1,820000,82000,33000,0.550006744,2,1,0,66966.66667,0,0.2
188159,3,141,33475,13,522,0.006,0.027,302087,0,1,1110000,110000,46000,0.51640702,1,2,0,97166.66667,0,0.4
87894,3,184,3861,6,189,0.191,0.038,176102,1,1,780000,78000,34000,0.635996327,3,2,0,55900,0,0.4
99987,3,119,16511,9,331,0.061,0.022,174892,0,2,500000,50000,36000,0.49173185,0,1,0,49166.66667,0,0.2
